date,total_mcap_usd,binance_assets_usd,binance_market_share_pct
2025-11-30,0.0,0.0,5.605
2025-12-01,0.0,0.0,5.648
2025-12-02,0.0,0.0,5.315
2025-12-03,0.0,0.0,5.384
2025-12-04,0.0,0.0,5.625
2025-12-05,0.0,0.0,5.687
2025-12-06,0.0,0.0,5.549
2025-12-07,0.0,0.0,5.519
2025-12-08,0.0,0.0,5.502
2025-12-09,0.0,0.0,5.405
2025-12-10,0.0,0.0,5.518
2025-12-11,0.0,0.0,5.351
2025-12-12,0.0,0.0,5.589
2025-12-13,0.0,0.0,5.483
2025-12-14,0.0,0.0,5.64
2025-12-15,0.0,0.0,5.663
2025-12-16,0.0,0.0,5.5
2025-12-17,0.0,0.0,5.663
2025-12-18,0.0,0.0,5.61
2025-12-19,0.0,0.0,5.399
2025-12-20,0.0,0.0,5.562
2025-12-21,0.0,0.0,5.558
2025-12-22,0.0,0.0,5.586
2025-12-23,0.0,0.0,5.628
2025-12-24,0.0,0.0,5.566
2025-12-25,0.0,0.0,5.63
2025-12-26,0.0,0.0,5.549
2025-12-27,0.0,0.0,5.551
2025-12-28,0.0,0.0,5.58
2025-12-29,0.0,0.0,5.657
2025-12-30,0.0,0.0,5.549
2025-12-31,0.0,0.0,5.634
2026-01-01,0.0,0.0,5.547
2026-01-02,0.0,0.0,5.49
2026-01-03,0.0,0.0,5.549
2026-01-04,0.0,0.0,5.499
2026-01-05,0.0,0.0,5.461
2026-01-06,0.0,0.0,5.486
2026-01-07,0.0,0.0,5.683
2026-01-08,0.0,0.0,5.593
2026-01-09,0.0,0.0,5.599
2026-01-10,0.0,0.0,5.625
2026-01-11,0.0,0.0,5.588
2026-01-12,0.0,0.0,5.593
2026-01-13,0.0,0.0,5.341
2026-01-14,0.0,0.0,5.494
2026-01-15,0.0,0.0,5.577
2026-01-16,0.0,0.0,5.52
2026-01-17,0.0,0.0,5.546
2026-01-18,0.0,0.0,5.637
2026-01-19,0.0,0.0,5.558
2026-01-20,0.0,0.0,5.825
2026-01-21,0.0,0.0,5.505
2026-01-22,0.0,0.0,5.606
2026-01-23,0.0,0.0,5.58
2026-01-24,0.0,0.0,5.613
2026-01-25,0.0,0.0,5.778
2026-01-26,0.0,0.0,5.522
2026-01-27,0.0,0.0,5.516
2026-01-28,0.0,0.0,5.611
2026-01-29,0.0,0.0,5.879
2026-01-30,0.0,0.0,5.739
2026-01-31,0.0,0.0,6.07
2026-02-01,0.0,0.0,5.93
2026-02-02,0.0,0.0,5.651
2026-02-03,0.0,0.0,5.907
2026-02-04,0.0,0.0,6.006
2026-02-05,0.0,0.0,6.645
2026-02-06,0.0,0.0,5.335
2026-02-07,0.0,0.0,5.916
2026-02-08,0.0,0.0,5.808
2026-02-09,0.0,0.0,5.792
2026-02-10,0.0,0.0,5.936
2026-02-11,0.0,0.0,5.927
2026-02-12,0.0,0.0,5.865
2026-02-13,0.0,0.0,5.649
2026-02-14,0.0,0.0,5.677
2026-02-15,0.0,0.0,5.874
2026-02-16,0.0,0.0,5.766
2026-02-17,0.0,0.0,6.154
2026-02-18,0.0,0.0,6.196
2026-02-19,0.0,0.0,5.841
2026-02-25,2329559367601.3535,137761347591.3825,5.913622529106412
